stockid,year,TCbest,TBbest,TBdivTBmsy,areaid,stocklong,scientificname,commonname,group,kingdom,phylum,class,order,family,genus,AphiaID,Vulnerability,LongevityWild,Length,resilience_score,adjusted_catch,smoothed_catch,status,trend
HERRNS-IIIa-VIId,1985,614000,4190000,NA,multinational-ICES-IIIa-IV-VIId,"Herring IIIa, VIId and North Sea",Clupea harengus,Herring,3,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,126417,40.97,25,45,0.4,245600,190666.66666666666,NA,-10240.000000001502
HERRRIGA,1985,15600,77500,NA,multinational-ICES-28,Herring ICES 28,Clupea harengus,Herring,4,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,126417,40.97,25,45,0.4,6240,6253.333333333333,NA,-501.33333333341767
HERRSIRS,1985,20400,159000,NA,multinational-ICES-VIIa-g-h-j,Herring ICES VIIa-g-h-j,Clupea harengus,Herring,3,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,126417,40.97,25,45,0.4,8160,9626.666666666666,NA,-929.3333333334313
HERRVIa,1985,39100,351000,NA,multinational-ICES-VIa,Herring ICES VIa,Clupea harengus,Herring,4,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,126417,40.97,25,45,0.4,15640,21146.666666666668,NA,-107.99999999998754
HERRVIaVIIbc,1985,62500,940000,NA,multinational-ICES-VIa-VIIb-VIIc,Herring ICES VIa-VIIb-VIIc,Clupea harengus,Herring,3,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,126417,40.97,25,45,0.4,25000,32333.333333333332,NA,-2294.9333333335517
HMACKIIa-IVa-Vb-VIa-VII-VIII,1985,96300,4610000,NA,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,Trachurus trachurus,Horse mackerel,3,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,126822,56.3,NA,70,0.4,38520,37720,NA,-10685.333333333396
HMACKIIIa-IVbc-VIId,1985,25600,0,NA,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel IIIa-IVbc-VIId,Trachurus trachurus,Horse mackerel,3,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,126822,56.3,NA,70,0.4,10240,8416,NA,-1058.666666666593
LINGVa,1985,3450,15500,NA,multinational-ICES-Va,Ling Iceland Grounds,Molva molva,Ling,4,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Molva,126461,77.21,25,200,0.2,690,830,NA,-298.3333333333689
LSOLEIIIa-IV-VIId,1985,0,0,NA,multinational-ICES-IIIa-IV-VIId,"Lemon sole IIIa, VIId and North Sea",Microstomus kitt,Lemon sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,127140,51.36,23,65,0.4,0,0,NA,535.5999999999656
MACKNEICES,1985,614000,5330000,NA,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,Mackerel ICES Northeast Atlantic,Scomber scombrus,Mackerel,2,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,127023,30.18,17,60,0.6,368400,385600,NA,-9320.00000000024
MEG8c9a,1985,0,0,NA,multinational-ICES-VIIIc-IXa,Megrim ICES VIIIc-IXa,Lepidorhombus whiffiagonis,Megrim,1,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Lepidorhombus,127146,59.63,16,60,0.4,0,NA,NA,-10.33333333333462
MEGSPPIVa-VIa,1985,6430,0,NA,multinational-ICES-IVa-VIa,Megrim spp. IVa and VIa,Lepidorhombus spp,Megrim spp.,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEGVII-VIIIabd,1985,19600,92000,NA,multinational-ICES-VII-VIIIabd,Megrim VII-VIIIabd,Lepidorhombus whiffiagonis,Megrim,2,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Lepidorhombus,127146,59.63,16,60,0.4,7840,5120,NA,-750.6666666667304
NEPHFU11,1985,4060,0,NA,multinational-ICES-FU11,Norway lobster North Minch (FU 11),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU12,1985,4010,0,NA,multinational-ICES-FU12,Norway lobster South Minch (FU 12),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU13,1985,4290,0,NA,multinational-ICES-FU13,Norway lobster Firth of Clyde and Sound of Jura (FU 13),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU15,1985,6900,0,NA,multinational-ICES-FU15,Norway lobster Irish Sea West (FU 15),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU16,1985,3920,0,NA,multinational-ICES-FU16,Norway lobster Porcupine Bank (FU 16),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU17,1985,207,0,NA,multinational-ICES-FU17,Norway lobster Aran Grounds (FU 17),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU25,1985,477,0,NA,multinational-ICES-FU25,Norway lobster North Galicia (FU 25),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU2627,1985,765,0,NA,multinational-ICES-FU2627,Norway lobster West Galicia and North Portugal (FU 26-27),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU2829,1985,509,0,NA,multinational-ICES-FU2829,Norway lobster South-West and South Portugal (FU 28-29),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU31,1985,128,0,NA,multinational-ICES-FU31,Norway lobster Cantabrian Sea (FU 31),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU3-4,1985,0,0,NA,multinational-ICES-FU3-4,Norway lobster Skagerak Kattegat (FU 3-4),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHFU6,1985,2030,0,NA,multinational-ICES-FU6,Norway lobster Farn Deeps (FU 6),Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHVIa,1985,104,0,NA,multinational-ICES-VIa,Norway lobster West of Scotland,Nephrops norvegicus,Norway lobster,4,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NEPHVII,1985,194,0,NA,multinational-ICES-VII,Norway lobster ICES VII,Nephrops norvegicus,Norway lobster,3,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,107254,NA,NA,NA,NA,NA,NA,NA,NA
NPOUTIIIa-IV,1985,227000,164000,NA,multinational-ICES-IIIa-IV,Norway pout IIIa and North Sea,Trisopterus esmarkii,Norway pout,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126444,31.79,5,35,0.6,136200,NA,NA,600.3999999999915
NPOUTVIb,1985,1150,0,NA,multinational-ICES-VIb,Norway pout Rockall Bank,Trisopterus esmarkii,Norway pout,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,126444,31.79,5,35,0.6,690,2080,NA,0.5288000000000251
PANDALI-II,1985,124000,1.34,NA,multinational-ICES-I-II,Northern shrimp North-East Arctic,Pandalus borealis,Northern shrimp,4,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,107649,NA,NA,NA,NA,NA,NA,NA,NA
PANDALIIIaW-IVaE,1985,0,0,NA,multinational-ICES-IIIaW-IVaE,Northern shrimp IIIa (west) and IVa (east),Pandalus borealis,Northern shrimp,4,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,107649,NA,NA,NA,NA,NA,NA,NA,NA
PANDALIVa,1985,5530,0,NA,multinational-ICES-IVa,Northern shrimp Northern North Sea,Pandalus borealis,Northern shrimp,4,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,107649,NA,NA,NA,NA,NA,NA,NA,NA
PLAIC7d,1985,0,10900,NA,multinational-ICES-VIId,European Plaice ICES VIId,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,0,0,NA,-59.53333333333959
PLAICCELT,1985,1750,0,NA,multinational-ICES-VIIf-g,European Plaice ICES VIIf-g,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,350,274,NA,-1.5333333333333385
PLAICECHW,1985,1680,0.875,NA,multinational-ICES-VIIe,European Plaice ICES VIIe,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,336,343.3333333333333,NA,3.733333333333277
PLAICIS,1985,5660,16800,NA,multinational-ICES-VIIa,European Plaice Irish Sea,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,1132,993.3333333333334,NA,-14.13333333333436
PLAICNS,1985,232000,609000,NA,multinational-ICES-IV,European Plaice North Sea,Pleuronectes platessa,European Plaice,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,46400,45933.333333333336,NA,-2073.333333333576
PLAICVIIbc,1985,167,0,NA,multinational-ICES-VIIbc,European Plaice VIIbc,Pleuronectes platessa,European Plaice,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,127143,71.05,50,100,0.2,33.4,29.133333333333333,NA,-0.09266666666667622
POLLFAPL,1985,44600,187000,NA,multinational-ICES-Vb1,Pollock Faroe Plateau,Pollachius virens,Pollock,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,126441,58.6,25,130,0.4,17840,18466.666666666668,NA,-553.3333333333763
POLLIEG,1985,53700,300000,NA,multinational-ICES-Va,Pollock Iceland Grounds,Pollachius virens,Pollock or saithe,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,126441,58.6,25,130,0.4,21480,22746.666666666668,NA,-1556.0000000001694
POLLNEAR,1985,107000,269000,NA,multinational-ICES-I-II,Pollock Northeast Arctic,Pollachius virens,Pollock,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,126441,58.6,25,130,0.4,42800,56400,NA,-3413.333333333674
POLLNS-VI-IIIa,1985,274000,527000,NA,multinational-ICES-IIIa-IV-VI,"Pollock ICES IIIa, VI and North Sea",Pollachius virens,Pollock,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,126441,58.6,25,130,0.4,109600,95733.33333333333,NA,-2054.6666666668953
PORSHARNEATL,1985,406,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Porbeagle shark Northeast Atlantic,Lamna nasus,Porbeagle shark,3,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,105841,74.1,65,350,0.2,81.2,100.4,NA,-9.739999999999764
RBRMIX,1985,0,0,NA,multinational-ICES-IX,Red seabream IX,Pagellus bogaraveo,Red seabream,4,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,127059,63.82,15,70,0.2,0,0,NA,2.746666666666693
RBRMVI-VII-VIII,1985,2100,0,NA,multinational-ICES-VI-VII-VIII,Red seabream VI-VII-VIII,Pagellus bogaraveo,Red seabream,3,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,127059,63.82,15,70,0.2,420,565.3333333333334,NA,-4.853333333333373
RBRMX,1985,672,0,NA,multinational-ICES-X,Red seabream Azores Grounds,Pagellus bogaraveo,Red seabream,4,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagellus,127059,63.82,15,70,0.2,134.4,126.13333333333334,NA,-3.446666666666699
REDDEEPDP-1-2-V-XII-XIV,1985,0,0,NA,multinational-ICES-DP-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep),Sebastes mentella,Beaked Redfish,4,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,127254,72.16,75,77.5,0.2,0,0,NA,-1368.666666666558
REDDEEPSH1-2-V-XII-XIV,1985,71700,0,NA,multinational-ICES-SH-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (shallow),Sebastes mentella,Beaked Redfish,4,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,127254,72.16,75,77.5,0.2,14340,13113.333333333334,NA,153.25333333334035
REDDEEPVa-XIV,1985,24800,0,NA,multinational-ICES-Va-XIV,Beaked Redfish Va and XIV,Sebastes mentella,Beaked Redfish,4,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,127254,72.16,75,77.5,0.2,4960,5760,NA,-82.60000000000028
REDDEEPXIVb,1985,9380,0,NA,multinational-ICES-XIVb,Beaked Redfish Southeast Greenland,Sebastes mentella,Beaked Redfish,4,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,127254,72.16,75,77.5,0.2,1876,2247.3333333333335,NA,-137.2000000000007
RNGENMATLR,1985,5790,0,NA,multinational-ICES-MATLR,Roundnose grenadier Mid-Atlantic Ridge,Coryphaenoides rupestris,Roundnose grenadier,4,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,158960,72.09,54,110,0.2,1158,1515.3333333333333,NA,-44.573333333327156
SARDPVIIIc-IXa,1985,208000,987000,NA,multinational-ICES-VIIIc-IXa,European pilchard ICES VIIIc-IXa,Sardina pilchardus,European pilchard,1,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardina,126421,30.31,15,27.5,0.6,124800,119600,NA,-3942.0000000002506
SARDVII,1985,5220,0,NA,multinational-ICES-VII,Sardine ICES VII,Sardina pilchardus,Sardine,3,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardina,126421,30.31,15,27.5,0.6,3132,2724,NA,594.7999999999304
SEELNSSA1,1985,437000,932000,NA,multinational-ICES-SA1,Sand eel SA 1,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA2,1985,111000,255000,NA,multinational-ICES-SA2,Sand eel SA 2,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA3,1985,0,258000,NA,multinational-ICES-SA3,Sand eel SA 3,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA5,1985,3000,0,NA,multinational-ICES-SA5,Sand eel SA 5,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA6,1985,0,0,NA,multinational-ICES-SA6,Sand eel SA 6,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELNSSA7,1985,12000,0,NA,multinational-ICES-SA7,Sand eel SA 7,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEELVIa,1985,18600,0,NA,multinational-ICES-VIa,Sand eel West of Scotland,Ammodytes spp,Sand eel,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOLECS,1985,0,4640,NA,multinational-ICES-VIIf-g,Common sole Celtic Sea,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,0,0,NA,-75.840000000007
SOLEIIIa-2224,1985,397,2460,NA,multinational-ICES-22-24-IIIa,Common sole 22-24-IIIa,Solea solea,Common sole,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,238.2,146.79999999999998,NA,-2.2599999999998053
SOLEIS,1985,0,7860,NA,multinational-ICES-VIIa,Common sole Irish Sea,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,0,0,NA,-24.38000000000146
SOLENS,1985,24200,63200,NA,multinational-ICES-IV,Common sole North Sea,Solea solea,Common sole,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,14520,15180,NA,-446.00000000006236
SOLEVIIbc,1985,50,0,NA,multinational-ICES-VIIbc,Common sole VIIbc,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,30,23.8,NA,-0.7079999999999768
SOLEVIId,1985,4060,18800,NA,multinational-ICES-VIId,Common sole ICES VIId,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,2436,2266,NA,-469.0000000000456
SOLEVIIe,1985,1410,5570,NA,multinational-ICES-VIIe,Common sole Western English Channel,Solea solea,Common sole,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,846,856,NA,-25.580000000002794
SOLEVIIIab,1985,4250,16000,NA,multinational-ICES-VIIIab,Common sole VIIIab,Solea solea,Common sole,2,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,127160,34.95,26.399999618530273,70,0.6,2550,1658,NA,-262.80000000002633
SPRAT22-32,1985,70000,1150000,NA,multinational-ICES-22-32,Sprat ICES Baltic Areas 22-32,Sprattus sprattus,Sprat,4,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,126425,24.52,6,16,0.6,42000,32000,NA,-8220.000000001055
SPRATIIIa,1985,19700,0,NA,multinational-ICES-IIIa,Sprat Kattegat and Skagerrak,Sprattus sprattus,Sprat,4,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,126425,24.52,6,16,0.6,11820,16440,NA,545.7999999999982
SPRATNS,1985,40900,263000,NA,multinational-ICES-IV,Sprat North Sea,Sprattus sprattus,Sprat,4,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,126425,24.52,6,16,0.6,24540,42340,NA,2053.9999999989677
SPRATVIIde,1985,3790,0,NA,multinational-ICES-VIIde,Sprat VIIde,Sprattus sprattus,Sprat,3,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,126425,24.52,6,16,0.6,2274,NA,NA,-132.60000000000096
SPRATVI-VIIabcfghijk,1985,7760,0,NA,multinational-ICES-VI-VIIabcfghijk,Sprat VI and VIIabcfghijk,Sprattus sprattus,Sprat,3,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,126425,24.52,6,16,0.6,4656,5164,NA,106.99999999999909
SPURDNEATL,1985,38700,71200,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,Squalus acanthias,Spurdog,3,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,105923,64.24,75,160,0.2,7740,7393.333333333333,NA,0
STRMULLVI-VIIabcefghijk-VIII-IXa,1985,1060,0,NA,multinational-ICES-VI-VIIabcefghijk-VIII-IXa,Striped red mullet ICES VI-VIIabcefghijk-VIII-IXa,Mullus surmuletus,Striped red mullet,1,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Mullus,126986,41.64,11,40,0.4,424,403.73333333333335,NA,-86.79999999999625
TUR2232,1985,0,0,NA,multinational-ICES-22-32,Turbot Baltic Areas 22-32,Scophthalmus maximus,Turbot,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,127149,59.94,25.200000762939453,100,0.4,0,0,NA,-2.333333333333353
TURIIIa,1985,241,0,NA,multinational-ICES-IIIa,Turbot Kattegat and Skagerrak,Scophthalmus maximus,Turbot,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,127149,59.94,25.200000762939453,100,0.4,96.4,85.06666666666668,NA,4.7066666666662895
TURIV,1985,0,0,NA,multinational-ICES-IV,Turbot North Sea,Scophthalmus maximus,Turbot,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,127149,59.94,25.200000762939453,100,0.4,0,0,NA,351.7333333333103
WANGLVIIIc-IXa,1985,6140,12900,NA,multinational-ICES-VIIIc-IXa,White anglerfish VIIIc-IXa,Lophius piscatorius,White anglerfish,1,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,126555,63.84,24,200,0.2,1228,1218.6666666666667,NA,-24.86666666667035
WHITIIIa,1985,0,0,NA,multinational-ICES-IIIa,Whiting Kattegat and Skagerrak,Merlangius merlangus,Whiting,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,0,0,NA,36.84666666666336
WHITNS-VIId,1985,100000,375000,NA,multinational-ICES-IV-VIId,Whiting NS-VIId,Merlangius merlangus,Whiting,3,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,20000,27133.333333333332,NA,-248.66666666671316
WHITVIa,1985,17700,79200,NA,multinational-ICES-VIa,Whiting ICES VIa,Merlangius merlangus,Whiting,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,3540,4033.3333333333335,NA,-30.586666666666915
WHITVIb,1985,131,0,NA,multinational-ICES-VIb,Whiting Rockall Bank,Merlangius merlangus,Whiting,4,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,26.200000000000003,18,NA,-0.6399999999999872
WHITVIIa,1985,18200,37000,NA,multinational-ICES-VIIa,Whiting Irish Sea,Merlangius merlangus,Whiting,3,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,3640,3040,NA,-14.046666666666882
WHITVIIek,1985,0,0,NA,multinational-ICES-VIIe-k,Whiting ICES VIIe-k,Merlangius merlangus,Whiting,3,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Merlangius,126438,67.35,20,91.5,0.2,0,0,NA,138.66666666666652
WITFLOUNIIIa-IV-VIId,1985,3980,0,NA,multinational-ICES-IIIa-IV-VIId,"Witch flounder IIIa, VIId and North Sea",Glyptocephalus cynoglossus,Witch flounder,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Glyptocephalus,127136,67.66,25,60,0.2,796,766,NA,45.26666666666351
ANCHOBAYB,1986,0,0,NA,multinational-ICES-VIII,Anchovy ICES VIII,Engraulis encrasicolus,Anchovy,3,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,126426,28.59,5,20,0.6,0,NA,NA,1704.000000000009
ANGLVIIIc-IXa,1986,2560,0,1.08,multinational-ICES-VIIIc-IXa,Black bellied angler VIIIc-IXa,Lophius budegassa,Black bellied angler,1,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,126554,67.7,21,100,0.2,512,421.3333333333333,1,-22.04666666666917
ANGLVII-VIIIabd,1986,0,0,NA,multinational-ICES-VII-VIIIabd,Black bellied angler VII and VIIIabd,Lophius budegassa,Black bellied angler,2,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,126554,67.7,21,100,0.2,0,NA,NA,64.86666666666673
ASHARNEATL,1986,14,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Angel shark Northeast Atlantic,Squatina squatina,Angel shark,3,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,105928,90,NA,183,0.2,2.8000000000000003,2.4000000000000004,NA,0.023333333333339087
BJMACKXa2,1986,3920,0,NA,multinational-ICES-Xa2,Blue jack mackerel Azores (Xa2),Trachurus picturatus,Blue jack mackerel,4,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,126821,68.02,18,60,0.2,784,770.6666666666666,NA,-20.18666666666677
BLINGVb-VI-VII,1986,21000,0,NA,multinational-ICES-Vb-VI-VII,Blue ling Vb-VI-VII,Molva dypterygia,Blue ling,3,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Molva,126459,75.46,20,155,0.2,4200,3706.6666666666665,NA,-36.600000000004286
BRILL2232,1986,18,0,NA,multinational-ICES-22-32,Brill Baltic Areas 22-32,Scophthalmus rhombus,Brill,4,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,127150,36.35,5.75,75,0.6,10.799999999999999,10,NA,-6.850000000000168
BRILLIIIa-IV-VIId,1986,0,0,NA,multinational-ICES-IIIa-IV-VIId,"Brill IIIa, VIId and North Sea",Scophthalmus rhombus,Brill,3,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,127150,36.35,5.75,75,0.6,0,0,NA,388.599999999965
BSKSHARNEATL,1986,1140,0,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Basking shark Northeast Atlantic,Cetorhinus maximus,Basking shark,3,NA,NA,NA,NA,NA,NA,NA,86.06,NA,1520,0.2,228,311.3333333333333,NA,0.34666666666665197
BWHITNEA,1986,847000,3100000,NA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue Whiting Northeast Atlantic,Micromesistius poutassou,Blue whiting,3,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Micromesistius,126439,31.8,20,55.5,0.6,508200,428200,NA,43519.99999999866
CAPEIIa-V-XIV,1986,1330000,0,NA,multinational-ICES-IIa-V-XIV,Capelin IIa-V-XIV,Mallotus villosus,Capelin,4,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,126735,27.37,10,20,0.6,798000,707200,NA,-43020.00000000019
CAPENOR,1986,123000,120000,NA,multinational-ICES-I,Capelin Barents Sea,Mallotus villosus,Capelin,4,Animalia,Chordata,Teleostei,Osmeriformes,Osmeridae,Mallotus,126735,27.37,10,20,0.6,73800,494200,NA,-35880.000000000146
