"year","scientificname","group","commonname","total_catch","total_biomass"
1983,"Trachurus trachurus",3,"Horse mackerel",98420,3280000
1983,"Trisopterus esmarkii",4,"Norway pout",1530,0
1984,"Ammodytes spp",4,"Sand eel",669220,1995000
1984,"Argentina silus",3,"Greater silver smelt",163,0
1984,"Brosme brosme",4,"Tusk",5690,39600
1984,"Cetorhinus maximus",3,"Basking shark",2060,0
1984,"Clupea harengus",3,"Herring",543370,4759800
1984,"Clupea harengus",4,"Herring",384300,2972200
1984,"Coryphaenoides rupestris",4,"Roundnose grenadier",6640,0
1984,"Dicentrarchus labrax",1,"European seabass",681,0
1984,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1984,"Gadus morhua",3,"Atlantic Cod",6630,17100
1984,"Gadus morhua",3,"Atlantic cod",291380,863100
1984,"Gadus morhua",4,"Atlantic cod",1139010,2879500
1984,"Glyptocephalus cynoglossus",3,"Witch flounder",3900,0
1984,"Lamna nasus",3,"Porbeagle shark",484,0
1984,"Lepidorhombus whiffiagonis",2,"Megrim",18800,89300
1984,"Limanda limanda",4,"Dab",2130,0
1984,"Lophius budegassa",1,"Black bellied angler",1930,0
1984,"Lophius piscatorius",1,"White anglerfish",6030,13900
1984,"Mallotus villosus",4,"Capelin",2376000,2960000
1984,"Melanogrammus aeglefinus",4,"Haddock",328600,1649600
1984,"Merlangius merlangus",3,"Whiting",161000,424800
1984,"Merlangius merlangus",4,"Whiting",20546,82100
1984,"Merluccius merluccius",1,"Hake",22200,53200
1984,"Merluccius merluccius",2,"Hake",63300,112000
1984,"Micromesistius poutassou",3,"Blue whiting",616000,3060000
1984,"Microstomus kitt",3,"Lemon sole",0,0
1984,"Molva dypterygia",3,"Blue ling",15400,0
1984,"Molva molva",4,"Ling",3880,14300
1984,"Mullus surmuletus",1,"Striped red mullet",1010,0
1984,"Nephrops norvegicus",3,"Norway lobster",187,0
1984,"Nephrops norvegicus",4,"Norway lobster",26614,0
1984,"Pagellus bogaraveo",3,"Red seabream",2630,0
1984,"Pagellus bogaraveo",4,"Red seabream",700,0
1984,"Pandalus borealis",4,"Northern shrimp",132590,1.96
1984,"Platichthys flesus",4,"European flounder",9690,0
1984,"Pleuronectes platessa",3,"European Plaice",7988,25830.883
1984,"Pleuronectes platessa",4,"European Plaice",237000,580000
1984,"Pollachius pollachius",4,"European pollack",0,0
1984,"Pollachius virens",4,"Pollock",454700,1011000
1984,"Pollachius virens",4,"Pollock or saithe",60400,287000
1984,"Reinhardtius hippoglossoides",4,"Greenland halibut",34021900,0
1984,"Sardina pilchardus",1,"European pilchard",206000,1160000
1984,"Sardina pilchardus",3,"Sardine",2030,0
1984,"Scomber scombrus",2,"Mackerel",642000,5190000
1984,"Scophthalmus maximus",4,"Turbot",188,0
1984,"Scophthalmus rhombus",3,"Brill",0,0
1984,"Scophthalmus rhombus",4,"Brill",15,0
1984,"Sebastes mentella",4,"Beaked Redfish",98430,0
1984,"Sebastes norvegicus",4,"Golden Redfish",96000,543000
1984,"Solea solea",2,"Common sole",4040,14800
1984,"Solea solea",3,"Common sole",5100,35030
1984,"Solea solea",4,"Common sole",27137,79110
1984,"Sprattus sprattus",3,"Sprat",7360,0
1984,"Sprattus sprattus",4,"Sprat",174700,1840000
1984,"Squalus acanthias",3,"Spurdog",35200,74500
1984,"Squatina squatina",3,"Angel shark",9,0
1984,"Trachurus picturatus",4,"Blue jack mackerel",3690,0
1984,"Trachurus trachurus",3,"Horse mackerel",125700,4050000
1984,"Trisopterus esmarkii",4,"Norway pout",384720,326000
1985,"Ammodytes spp",4,"Sand eel",581600,1445000
1985,"Argentina silus",3,"Greater silver smelt",0,0
1985,"Brosme brosme",4,"Tusk",5060,40300
1985,"Cetorhinus maximus",3,"Basking shark",1470,0
1985,"Clupea harengus",3,"Herring",706090,5335400
1985,"Clupea harengus",4,"Herring",366100,2816500
1985,"Coryphaenoides rupestris",4,"Roundnose grenadier",5790,0
1985,"Dicentrarchus labrax",1,"European seabass",475,0
1985,"Dicentrarchus labrax",3,"European seabass",0,16200
1985,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1985,"Gadus morhua",3,"Atlantic Cod",8320,21800
1985,"Gadus morhua",3,"Atlantic cod",257500,596900
1985,"Gadus morhua",4,"Atlantic cod",1110470,2871300
1985,"Glyptocephalus cynoglossus",3,"Witch flounder",3980,0
1985,"Lamna nasus",3,"Porbeagle shark",406,0
1985,"Lepidorhombus spp",4,"Megrim spp.",6430,0
1985,"Lepidorhombus whiffiagonis",1,"Megrim",0,0
1985,"Lepidorhombus whiffiagonis",2,"Megrim",19600,92000
1985,"Limanda limanda",4,"Dab",1960,0
1985,"Lophius budegassa",1,"Black bellied angler",1830,0
1985,"Lophius piscatorius",1,"White anglerfish",6140,12900
1985,"Mallotus villosus",4,"Capelin",2178000,860000
1985,"Melanogrammus aeglefinus",4,"Haddock",358300,1266900
1985,"Merlangius merlangus",3,"Whiting",118200,412000
1985,"Merlangius merlangus",4,"Whiting",17831,79200
1985,"Merluccius merluccius",1,"Hake",18900,50200
1985,"Merluccius merluccius",2,"Hake",56100,97400
1985,"Micromesistius poutassou",3,"Blue whiting",678000,3200000
1985,"Microstomus kitt",3,"Lemon sole",0,0
1985,"Molva dypterygia",3,"Blue ling",19200,0
1985,"Molva molva",4,"Ling",3450,15500
1985,"Mullus surmuletus",1,"Striped red mullet",1060,0
1985,"Nephrops norvegicus",3,"Norway lobster",194,0
1985,"Nephrops norvegicus",4,"Norway lobster",27400,0
1985,"Pagellus bogaraveo",3,"Red seabream",2100,0
1985,"Pagellus bogaraveo",4,"Red seabream",672,0
1985,"Pandalus borealis",4,"Northern shrimp",129530,1.34
1985,"Platichthys flesus",4,"European flounder",9300,0
1985,"Pleuronectes platessa",3,"European Plaice",9257,27700.875
1985,"Pleuronectes platessa",4,"European Plaice",232000,609000
1985,"Pollachius pollachius",1,"European pollack",5730,0
1985,"Pollachius pollachius",4,"European pollack",0,0
1985,"Pollachius virens",4,"Pollock",425600,983000
1985,"Pollachius virens",4,"Pollock or saithe",53700,3e+05
1985,"Reinhardtius hippoglossoides",4,"Greenland halibut",32119900,0
1985,"Sardina pilchardus",1,"European pilchard",208000,987000
1985,"Sardina pilchardus",3,"Sardine",5220,0
1985,"Scomber scombrus",2,"Mackerel",614000,5330000
1985,"Scophthalmus maximus",4,"Turbot",241,0
1985,"Scophthalmus rhombus",3,"Brill",0,0
1985,"Scophthalmus rhombus",4,"Brill",17,0
1985,"Sebastes mentella",4,"Beaked Redfish",105880,0
1985,"Sebastes norvegicus",4,"Golden Redfish",78600,505000
1985,"Solea solea",2,"Common sole",4250,16000
1985,"Solea solea",3,"Common sole",5520,36870
1985,"Solea solea",4,"Common sole",24597,65660
1985,"Sprattus sprattus",3,"Sprat",11550,0
1985,"Sprattus sprattus",4,"Sprat",130600,1413000
1985,"Squalus acanthias",3,"Spurdog",38700,71200
1985,"Squatina squatina",3,"Angel shark",13,0
1985,"Trachurus picturatus",4,"Blue jack mackerel",3950,0
1985,"Trachurus trachurus",3,"Horse mackerel",121900,4610000
1985,"Trisopterus esmarkii",4,"Norway pout",228150,164000
1986,"Ammodytes spp",4,"Sand eel",922358,3699000
1986,"Argentina silus",3,"Greater silver smelt",258,0
1986,"Brosme brosme",4,"Tusk",5380,41200
1986,"Cetorhinus maximus",3,"Basking shark",1140,0
1986,"Clupea harengus",3,"Herring",802940,5923300
1986,"Clupea harengus",4,"Herring",364300,2513700
1986,"Coryphaenoides rupestris",4,"Roundnose grenadier",22800,0
1986,"Dicentrarchus labrax",1,"European seabass",580,0
1986,"Dicentrarchus labrax",3,"European seabass",0,15600
1986,"Engraulis encrasicolus",3,"Anchovy",0,0
1986,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1986,"Gadus morhua",3,"Atlantic Cod",10500,20900
1986,"Gadus morhua",3,"Atlantic cod",242000,786700
1986,"Gadus morhua",4,"Atlantic cod",1181392,2939800
1986,"Glyptocephalus cynoglossus",3,"Witch flounder",3580,0
1986,"Lamna nasus",3,"Porbeagle shark",399,0
1986,"Lepidorhombus boscii",1,"Fourspotted megrim",1410,5170
1986,"Lepidorhombus spp",4,"Megrim spp.",4050,0
1986,"Lepidorhombus whiffiagonis",1,"Megrim",705,2580
1986,"Lepidorhombus whiffiagonis",2,"Megrim",21200,90200
1986,"Limanda limanda",4,"Dab",2000,0
1986,"Lophius budegassa",1,"Black bellied angler",2560,0
1986,"Lophius budegassa",2,"Black bellied angler",0,0
1986,"Lophius piscatorius",1,"White anglerfish",6870,10700
1986,"Lophius piscatorius",2,"White anglerfish",25000,84000
1986,"Mallotus villosus",4,"Capelin",1453000,120000
1986,"Melanogrammus aeglefinus",4,"Haddock",388400,1597000
1986,"Merlangius merlangus",3,"Whiting",173100,483800
1986,"Merlangius merlangus",4,"Whiting",11118,72700
1986,"Merluccius merluccius",1,"Hake",17200,46400
1986,"Merluccius merluccius",2,"Hake",57100,80400
1986,"Micromesistius poutassou",3,"Blue whiting",847000,3100000
1986,"Microstomus kitt",3,"Lemon sole",0,0
1986,"Molva dypterygia",3,"Blue ling",21000,0
1986,"Molva molva",4,"Ling",3600,17000
1986,"Mullus surmuletus",1,"Striped red mullet",1010,0
1986,"Nephrops norvegicus",3,"Norway lobster",113,0
1986,"Nephrops norvegicus",4,"Norway lobster",27677,0
1986,"Pagellus bogaraveo",3,"Red seabream",2000,0
1986,"Pagellus bogaraveo",4,"Red seabream",730,0
1986,"Pandalus borealis",4,"Northern shrimp",69020,1.13
1986,"Platichthys flesus",4,"European flounder",10282,0
1986,"Pleuronectes platessa",3,"European Plaice",9270,33201.08
1986,"Pleuronectes platessa",4,"European Plaice",309000,729000
1986,"Pollachius pollachius",1,"European pollack",2810,0
1986,"Pollachius pollachius",4,"European pollack",0,0
1986,"Pollachius virens",4,"Pollock",342100,952000
1986,"Pollachius virens",4,"Pollock or saithe",65200,319000
1986,"Reinhardtius hippoglossoides",4,"Greenland halibut",33022900,0
1986,"Sardina pilchardus",1,"European pilchard",187000,796000
1986,"Sardina pilchardus",3,"Sardine",6200,0
1986,"Scomber scombrus",2,"Mackerel",602000,4880000
1986,"Scophthalmus maximus",4,"Turbot",193,0
1986,"Scophthalmus rhombus",3,"Brill",0,0
1986,"Scophthalmus rhombus",4,"Brill",18,0
1986,"Sebastes mentella",4,"Beaked Redfish",136000,0
1986,"Sebastes norvegicus",4,"Golden Redfish",107300,474000
1986,"Solea solea",2,"Common sole",4810,17100
1986,"Solea solea",3,"Common sole",5527,38760
1986,"Solea solea",4,"Common sole",18843,63990
1986,"Sprattus sprattus",3,"Sprat",6780,0
1986,"Sprattus sprattus",4,"Sprat",102500,2017000
1986,"Squalus acanthias",3,"Spurdog",30900,67500
1986,"Squatina squatina",3,"Angel shark",14,0
1986,"Trachurus picturatus",4,"Blue jack mackerel",3920,0
1986,"Trachurus trachurus",3,"Horse mackerel",161300,5020000
1986,"Trisopterus esmarkii",4,"Norway pout",186830,120000
1987,"Ammodytes spp",4,"Sand eel",838020,3088000
1987,"Argentina silus",3,"Greater silver smelt",50,0
1987,"Brosme brosme",4,"Tusk",5640,41400
1987,"Cetorhinus maximus",3,"Basking shark",165,0
1987,"Clupea harengus",3,"Herring",917020,5946100
1987,"Clupea harengus",4,"Herring",414400,3134600
1987,"Coryphaenoides rupestris",4,"Roundnose grenadier",10900,0
1987,"Dicentrarchus labrax",1,"European seabass",542,0
1987,"Dicentrarchus labrax",3,"European seabass",0,14600
1987,"Engraulis encrasicolus",3,"Anchovy",15300,21800
1987,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1987,"Gadus morhua",3,"Atlantic Cod",10200,28400
1987,"Gadus morhua",3,"Atlantic cod",276000,748600
1987,"Gadus morhua",4,"Atlantic cod",1262990,2959800
1987,"Glyptocephalus cynoglossus",3,"Witch flounder",3700,0
1987,"Lamna nasus",3,"Porbeagle shark",389,0
1987,"Lepidorhombus boscii",1,"Fourspotted megrim",2020,7300
1987,"Lepidorhombus spp",4,"Megrim spp.",6490,0
1987,"Lepidorhombus whiffiagonis",1,"Megrim",537,2330
1987,"Lepidorhombus whiffiagonis",2,"Megrim",18800,94200
1987,"Limanda limanda",4,"Dab",2180,0
1987,"Lophius budegassa",1,"Black bellied angler",3830,0
1987,"Lophius budegassa",2,"Black bellied angler",0,0
1987,"Lophius piscatorius",1,"White anglerfish",5140,7340
1987,"Lophius piscatorius",2,"White anglerfish",23100,83200
1987,"Mallotus villosus",4,"Capelin",1120000,101000
1987,"Melanogrammus aeglefinus",4,"Haddock",405700,1305200
1987,"Merlangius merlangus",3,"Whiting",153300,407200
1987,"Merlangius merlangus",4,"Whiting",23612,78100
1987,"Merluccius merluccius",1,"Hake",16200,40100
1987,"Merluccius merluccius",2,"Hake",63400,75300
1987,"Micromesistius poutassou",3,"Blue whiting",655000,2800000
1987,"Microstomus kitt",3,"Lemon sole",0,0
1987,"Molva dypterygia",3,"Blue ling",17400,0
1987,"Molva molva",4,"Ling",4970,18500
1987,"Mullus surmuletus",1,"Striped red mullet",1190,0
1987,"Nephrops norvegicus",2,"Norway lobster",7160,0
1987,"Nephrops norvegicus",3,"Norway lobster",107,0
1987,"Nephrops norvegicus",4,"Norway lobster",27522.4,0
1987,"Pagellus bogaraveo",3,"Red seabream",747,0
1987,"Pagellus bogaraveo",4,"Red seabream",631,0
1987,"Pandalus borealis",4,"Northern shrimp",52710,1.21
1987,"Platichthys flesus",4,"European flounder",7997,0
1987,"Pleuronectes platessa",3,"European Plaice",11247,39201.51
1987,"Pleuronectes platessa",4,"European Plaice",359000,757000
1987,"Pollachius pollachius",1,"European pollack",2920,0
1987,"Pollachius pollachius",4,"European pollack",0,0
1987,"Pollachius virens",4,"Pollock",324400,895000
1987,"Pollachius virens",4,"Pollock or saithe",80200,336000
1987,"Reinhardtius hippoglossoides",4,"Greenland halibut",46619100,0
1987,"Sardina pilchardus",1,"European pilchard",178000,642000
1987,"Sardina pilchardus",3,"Sardine",2660,0
1987,"Scomber scombrus",2,"Mackerel",655000,4650000
1987,"Scophthalmus maximus",4,"Turbot",161,0
1987,"Scophthalmus rhombus",3,"Brill",0,0
1987,"Scophthalmus rhombus",4,"Brill",15,0
1987,"Sebastes mentella",4,"Beaked Redfish",116910,0
1987,"Sebastes norvegicus",4,"Golden Redfish",100700,438000
1987,"Solea solea",2,"Common sole",5090,18600
1987,"Solea solea",3,"Common sole",6291,36900
1987,"Solea solea",4,"Common sole",18122,66280
1987,"Sprattus sprattus",3,"Sprat",5790,0
1987,"Sprattus sprattus",4,"Sprat",140000,1954000
1987,"Squalus acanthias",3,"Spurdog",42400,65800
1987,"Squatina squatina",3,"Angel shark",12,0
1987,"Trachurus picturatus",4,"Blue jack mackerel",3670,0
1987,"Trachurus trachurus",3,"Horse mackerel",199300,5210000
1987,"Trisopterus esmarkii",4,"Norway pout",187300,259000
1988,"Ammodytes spp",4,"Sand eel",921000,1658000
1988,"Aphanopus carbo",3,"Black scabbardfish",2.6,0
1988,"Argentina silus",3,"Greater silver smelt",100,0
1988,"Argentina silus",4,"Greater silver smelt",22310,0
1988,"Beryx spp",3,"Beryx spp",225,0
1988,"Brosme brosme",3,"Tusk",12300,0
1988,"Brosme brosme",4,"Tusk",22121,41100
1988,"Centrophorus squamosus",3,"Leafscale gulper shark",560,0
1988,"Cetorhinus maximus",3,"Basking shark",106,0
1988,"Clupea harengus",3,"Herring",983300,5722700
1988,"Clupea harengus",4,"Herring",572600,6248000
1988,"Coryphaenoides rupestris",3,"Roundnose grenadier",33,0
1988,"Coryphaenoides rupestris",4,"Roundnose grenadier",11217,0
1988,"Dalatias licha",3,"Kitefin shark",698,0
1988,"Dicentrarchus labrax",1,"European seabass",586,0
1988,"Dicentrarchus labrax",3,"European seabass",0,13000
1988,"Engraulis encrasicolus",3,"Anchovy",15600,30200
1988,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1988,"Gadus morhua",3,"Atlantic Cod",17200,41400
1988,"Gadus morhua",3,"Atlantic cod",222300,555200
1988,"Gadus morhua",4,"Atlantic cod",1195260,2743600
1988,"Glyptocephalus cynoglossus",3,"Witch flounder",3290,0
1988,"Hoplostethus atlanticus",3,"Orange roughy",0,0
1988,"Lamna nasus",3,"Porbeagle shark",471,0
1988,"Lepidorhombus boscii",1,"Fourspotted megrim",2590,7820
1988,"Lepidorhombus spp",4,"Megrim spp.",7270,0
1988,"Lepidorhombus whiffiagonis",1,"Megrim",858,2560
1988,"Lepidorhombus whiffiagonis",2,"Megrim",19300,81500
1988,"Limanda limanda",4,"Dab",2320,0
1988,"Lophius budegassa",1,"Black bellied angler",3700,0
1988,"Lophius budegassa",2,"Black bellied angler",0,0
1988,"Lophius piscatorius",1,"White anglerfish",6320,7250
1988,"Lophius piscatorius",2,"White anglerfish",21300,79500
1988,"Mallotus villosus",4,"Capelin",1040000,428000
1988,"Melanogrammus aeglefinus",4,"Haddock",341700,932500
1988,"Merlangius merlangus",3,"Whiting",144900,391000
1988,"Merlangius merlangus",4,"Whiting",19523,50600
1988,"Merluccius merluccius",1,"Hake",16700,32300
1988,"Merluccius merluccius",2,"Hake",64800,76300
1988,"Micromesistius poutassou",3,"Blue whiting",552000,2420000
1988,"Microstomus kitt",3,"Lemon sole",0,0
1988,"Molva dypterygia",3,"Blue ling",22990,0
1988,"Molva molva",3,"Ling",41100,0
1988,"Molva molva",4,"Ling",16470,18400
1988,"Mullus surmuletus",1,"Striped red mullet",1130,0
1988,"Nephrops norvegicus",2,"Norway lobster",10000,0
1988,"Nephrops norvegicus",3,"Norway lobster",140,0
1988,"Nephrops norvegicus",4,"Norway lobster",28747,0
1988,"Pagellus bogaraveo",3,"Red seabream",389,0
1988,"Pagellus bogaraveo",4,"Red seabream",1326,0
1988,"Pandalus borealis",4,"Northern shrimp",62650,25501.51
1988,"Platichthys flesus",4,"European flounder",7998,0
1988,"Pleuronectes platessa",3,"European Plaice",10888,31801.49
1988,"Pleuronectes platessa",4,"European Plaice",325000,690000
1988,"Pollachius pollachius",1,"European pollack",2580,0
1988,"Pollachius pollachius",4,"European pollack",0,0
1988,"Pollachius virens",4,"Pollock",313300,859000
1988,"Pollachius virens",4,"Pollock or saithe",77200,415000
1988,"Raja undulata",3,"Undulate ray",0,0
1988,"Reinhardtius hippoglossoides",4,"Greenland halibut",51119600,0
1988,"Sardina pilchardus",1,"European pilchard",162000,706000
1988,"Sardina pilchardus",3,"Sardine",5820,0
1988,"Scomber scombrus",2,"Mackerel",680000,4810000
1988,"Scophthalmus maximus",4,"Turbot",138,0
1988,"Scophthalmus rhombus",3,"Brill",0,0
1988,"Scophthalmus rhombus",4,"Brill",6,0
1988,"Sebastes mentella",4,"Beaked Redfish",111770,0
1988,"Sebastes norvegicus",4,"Golden Redfish",115400,390000
1988,"Solea solea",2,"Common sole",5380,18500
1988,"Solea solea",3,"Common sole",5517,34490
1988,"Solea solea",4,"Common sole",22306,89330
1988,"Sprattus sprattus",3,"Sprat",10570,0
1988,"Sprattus sprattus",4,"Sprat",184700,2561000
1988,"Squalus acanthias",3,"Spurdog",35600,61400
1988,"Squatina squatina",3,"Angel shark",11,0
1988,"Trachurus picturatus",4,"Blue jack mackerel",3820,0
1988,"Trachurus trachurus",3,"Horse mackerel",232800,5220000
1988,"Trisopterus esmarkii",4,"Norway pout",115740,98800
1989,"Ammodytes spp",4,"Sand eel",1044949,1839000
1989,"Aphanopus carbo",3,"Black scabbardfish",3.83,0
1989,"Argentina silus",3,"Greater silver smelt",200,0
1989,"Argentina silus",4,"Greater silver smelt",33000,0
1989,"Beryx spp",3,"Beryx spp",272,0
1989,"Brosme brosme",3,"Tusk",14100,0
1989,"Brosme brosme",4,"Tusk",28071,39700
1989,"Centrophorus squamosus",3,"Leafscale gulper shark",527,0
1989,"Cetorhinus maximus",3,"Basking shark",593,0
1989,"Clupea harengus",3,"Herring",879450,5127700
1989,"Clupea harengus",4,"Herring",564900,6542000
1989,"Coryphaenoides rupestris",3,"Roundnose grenadier",2750,0
1989,"Coryphaenoides rupestris",4,"Roundnose grenadier",10385,0
1989,"Dalatias licha",3,"Kitefin shark",617,0
1989,"Dicentrarchus labrax",1,"European seabass",1030,0
1989,"Dicentrarchus labrax",3,"European seabass",0,12200
1989,"Engraulis encrasicolus",1,"Anchovy",5940,0
1989,"Engraulis encrasicolus",3,"Anchovy",10600,16500
1989,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1989,"Gadus morhua",3,"Atlantic Cod",19800,37600
1989,"Gadus morhua",3,"Atlantic cod",194000,552200
1989,"Gadus morhua",4,"Atlantic cod",1088019,2621600
1989,"Glyptocephalus cynoglossus",3,"Witch flounder",3840,0
1989,"Hoplostethus atlanticus",3,"Orange roughy",8,0
1989,"Lamna nasus",3,"Porbeagle shark",462,0
1989,"Lepidorhombus boscii",1,"Fourspotted megrim",3040,7790
1989,"Lepidorhombus spp",4,"Megrim spp.",4780,0
1989,"Lepidorhombus whiffiagonis",1,"Megrim",761,2690
1989,"Lepidorhombus whiffiagonis",2,"Megrim",21800,71200
1989,"Limanda limanda",4,"Dab",2040,0
1989,"Lophius budegassa",1,"Black bellied angler",2580,0
1989,"Lophius budegassa",2,"Black bellied angler",0,0
1989,"Lophius piscatorius",1,"White anglerfish",5000,5920
1989,"Lophius piscatorius",2,"White anglerfish",24000,78700
1989,"Mallotus villosus",4,"Capelin",807000,864000
1989,"Melanogrammus aeglefinus",4,"Haddock",263700,797800
1989,"Merlangius merlangus",3,"Whiting",137400,446700
1989,"Merlangius merlangus",4,"Whiting",13434,57200
1989,"Merluccius merluccius",1,"Hake",13800,25000
1989,"Merluccius merluccius",2,"Hake",66500,76500
1989,"Micromesistius poutassou",3,"Blue whiting",630000,2390000
1989,"Microstomus kitt",3,"Lemon sole",0,0
1989,"Molva dypterygia",3,"Blue ling",17710,0
1989,"Molva molva",3,"Ling",34300,0
1989,"Molva molva",4,"Ling",17570,18200
1989,"Mullus surmuletus",1,"Striped red mullet",1130,0
1989,"Nephrops norvegicus",2,"Norway lobster",7470,0
1989,"Nephrops norvegicus",3,"Norway lobster",134,0
1989,"Nephrops norvegicus",4,"Norway lobster",26469,0
1989,"Pagellus bogaraveo",3,"Red seabream",461,0
1989,"Pagellus bogaraveo",4,"Red seabream",1600,0
1989,"Pandalus borealis",4,"Northern shrimp",76870,21401.72
1989,"Platichthys flesus",4,"European flounder",8846,0
1989,"Pleuronectes platessa",3,"European Plaice",10064,32351.44
1989,"Pleuronectes platessa",4,"European Plaice",287000,630000
1989,"Pollachius pollachius",1,"European pollack",1970,0
1989,"Pollachius pollachius",4,"European pollack",0,0
1989,"Pollachius virens",4,"Pollock",292500,772000
1989,"Pollachius virens",4,"Pollock or saithe",82300,398000
1989,"Raja undulata",3,"Undulate ray",0,0
1989,"Reinhardtius hippoglossoides",4,"Greenland halibut",61420100,0
1989,"Sardina pilchardus",1,"European pilchard",141000,625000
1989,"Sardina pilchardus",3,"Sardine",7560,0
1989,"Scomber scombrus",2,"Mackerel",586000,4450000
1989,"Scophthalmus maximus",4,"Turbot",184,0
1989,"Scophthalmus rhombus",3,"Brill",0,0
1989,"Scophthalmus rhombus",4,"Brill",10,0
1989,"Sebastes mentella",4,"Beaked Redfish",81380,0
1989,"Sebastes norvegicus",4,"Golden Redfish",79900,350000
1989,"Solea solea",2,"Common sole",5850,17700
1989,"Solea solea",3,"Common sole",5408,34850
1989,"Solea solea",4,"Common sole",22624,127590
1989,"Sprattus sprattus",3,"Sprat",5930,0
1989,"Sprattus sprattus",4,"Sprat",147700,1661000
1989,"Squalus acanthias",3,"Spurdog",30300,58300
1989,"Squatina squatina",3,"Angel shark",4,0
1989,"Trachurus picturatus",4,"Blue jack mackerel",3370,0
1989,"Trachurus trachurus",3,"Horse mackerel",242800,5090000
1989,"Trisopterus esmarkii",4,"Norway pout",195200,213000
1990,"Ammodytes spp",4,"Sand eel",620373,1363000
1990,"Aphanopus carbo",3,"Black scabbardfish",4.81,0
1990,"Argentina silus",3,"Greater silver smelt",324,0
1990,"Argentina silus",4,"Greater silver smelt",21080,0
1990,"Beryx spp",3,"Beryx spp",353,0
1990,"Brosme brosme",3,"Tusk",12900,0
1990,"Brosme brosme",4,"Tusk",26668,38300
1990,"Centrophorus squamosus",3,"Leafscale gulper shark",635,0
1990,"Cetorhinus maximus",3,"Basking shark",897,0
1990,"Clupea harengus",3,"Herring",758410,5085700
1990,"Clupea harengus",4,"Herring",518200,6742000
1990,"Coryphaenoides rupestris",3,"Roundnose grenadier",7358,0
1990,"Coryphaenoides rupestris",4,"Roundnose grenadier",3910,0
1990,"Dalatias licha",3,"Kitefin shark",609,0
1990,"Dicentrarchus labrax",1,"European seabass",1040,0
1990,"Dicentrarchus labrax",3,"European seabass",0,12000
1990,"Engraulis encrasicolus",1,"Anchovy",6490,0
1990,"Engraulis encrasicolus",3,"Anchovy",34300,55200
1990,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1990,"Gadus morhua",3,"Atlantic Cod",12700,25100
1990,"Gadus morhua",3,"Atlantic cod",148540,379200
1990,"Gadus morhua",4,"Atlantic cod",863639,2345700
1990,"Glyptocephalus cynoglossus",3,"Witch flounder",3860,0
1990,"Hoplostethus atlanticus",3,"Orange roughy",39,0
1990,"Lamna nasus",3,"Porbeagle shark",690,0
1990,"Lepidorhombus boscii",1,"Fourspotted megrim",2350,6730
1990,"Lepidorhombus spp",4,"Megrim spp.",4190,0
1990,"Lepidorhombus whiffiagonis",1,"Megrim",1020,2800
1990,"Lepidorhombus whiffiagonis",2,"Megrim",17700,67300
1990,"Limanda limanda",4,"Dab",2180,0
1990,"Lophius budegassa",1,"Black bellied angler",2330,0
1990,"Lophius budegassa",2,"Black bellied angler",0,0
1990,"Lophius piscatorius",1,"White anglerfish",3790,4910
1990,"Lophius piscatorius",2,"White anglerfish",21000,73000
1990,"Macrourus berglax",3,"Roughhead grenadier",589,0
1990,"Mallotus villosus",4,"Capelin",313000,5830000
1990,"Melanogrammus aeglefinus",4,"Haddock",192800,961300
1990,"Merlangius merlangus",3,"Whiting",163700,380500
1990,"Merlangius merlangus",4,"Whiting",10688,58000
1990,"Merluccius merluccius",1,"Hake",13200,22200
1990,"Merluccius merluccius",2,"Hake",60000,70600
1990,"Micromesistius poutassou",3,"Blue whiting",558000,2520000
1990,"Microstomus kitt",3,"Lemon sole",0,0
1990,"Molva dypterygia",3,"Blue ling",14340,0
1990,"Molva molva",3,"Ling",28200,0
1990,"Molva molva",4,"Ling",17050,17200
1990,"Mullus surmuletus",1,"Striped red mullet",1340,0
1990,"Nephrops norvegicus",2,"Norway lobster",5600,0
1990,"Nephrops norvegicus",3,"Norway lobster",102,0
1990,"Nephrops norvegicus",4,"Norway lobster",25659,0
1990,"Pagellus bogaraveo",3,"Red seabream",446,0
1990,"Pagellus bogaraveo",4,"Red seabream",1483,0
1990,"Pandalus borealis",4,"Northern shrimp",93450,24901.89
1990,"Platichthys flesus",4,"European flounder",6283,0
1990,"Pleuronectes platessa",3,"European Plaice",9013,30191.28
1990,"Pleuronectes platessa",4,"European Plaice",241000,555000
1990,"Pollachius pollachius",1,"European pollack",1900,0
1990,"Pollachius pollachius",4,"European pollack",0,0
1990,"Pollachius virens",4,"Pollock",281400,744000
1990,"Pollachius virens",4,"Pollock or saithe",97500,377000
1990,"Raja undulata",3,"Undulate ray",0,0
1990,"Reinhardtius hippoglossoides",4,"Greenland halibut",39323200,0
1990,"Sardina pilchardus",1,"European pilchard",149000,562000
1990,"Sardina pilchardus",3,"Sardine",9430,0
1990,"Scomber scombrus",2,"Mackerel",626000,4360000
1990,"Scophthalmus maximus",4,"Turbot",386,0
1990,"Scophthalmus rhombus",3,"Brill",0,0
